name,type,top_level_idx,num_features
model.0.bn,BatchNorm2d,0,32
model.1.bn,BatchNorm2d,1,64
model.2.bn,BatchNorm2d,2,32
model.3.bn,BatchNorm2d,3,32
model.4.bn,BatchNorm2d,4,32
model.5.bn,BatchNorm2d,5,32
model.7.bn,BatchNorm2d,7,64
model.9.bn,BatchNorm2d,9,64
model.10.bn,BatchNorm2d,10,64
model.11.bn,BatchNorm2d,11,64
model.12.bn,BatchNorm2d,12,64
model.14.bn,BatchNorm2d,14,128
model.16.bn,BatchNorm2d,16,128
model.17.bn,BatchNorm2d,17,128
model.18.bn,BatchNorm2d,18,128
model.19.bn,BatchNorm2d,19,128
model.21.bn,BatchNorm2d,21,256
model.23.bn,BatchNorm2d,23,256
model.24.bn,BatchNorm2d,24,256
model.25.bn,BatchNorm2d,25,256
model.26.bn,BatchNorm2d,26,256
model.28.bn,BatchNorm2d,28,512
model.29.bn,BatchNorm2d,29,256
model.30.bn,BatchNorm2d,30,256
model.35.bn,BatchNorm2d,35,256
model.37.bn,BatchNorm2d,37,256
model.38.bn,BatchNorm2d,38,128
model.40.bn,BatchNorm2d,40,128
model.42.bn,BatchNorm2d,42,64
model.43.bn,BatchNorm2d,43,64
model.44.bn,BatchNorm2d,44,64
model.45.bn,BatchNorm2d,45,64
model.47.bn,BatchNorm2d,47,128
model.48.bn,BatchNorm2d,48,64
model.50.bn,BatchNorm2d,50,64
model.52.bn,BatchNorm2d,52,32
model.53.bn,BatchNorm2d,53,32
model.54.bn,BatchNorm2d,54,32
model.55.bn,BatchNorm2d,55,32
model.57.bn,BatchNorm2d,57,64
model.58.bn,BatchNorm2d,58,128
model.60.bn,BatchNorm2d,60,64
model.61.bn,BatchNorm2d,61,64
model.62.bn,BatchNorm2d,62,64
model.63.bn,BatchNorm2d,63,64
model.65.bn,BatchNorm2d,65,128
model.66.bn,BatchNorm2d,66,256
model.68.bn,BatchNorm2d,68,128
model.69.bn,BatchNorm2d,69,128
model.70.bn,BatchNorm2d,70,128
model.71.bn,BatchNorm2d,71,128
model.73.bn,BatchNorm2d,73,256
model.74.bn,BatchNorm2d,74,128
model.75.bn,BatchNorm2d,75,256
model.76.bn,BatchNorm2d,76,512
