# YOLOv7-Tiny Module Tree
# Generated: 2025-12-24 15:33:52
# Total modules: 263
====================================================================================================
Index  Name                                               Type                               Params
====================================================================================================
0      (root)                                             Model                           6,228,762
1      model                                              Sequential                      6,228,762
2      model.0                                            Conv                                  928
3      model.0.conv                                       Conv2d                                864
4      model.0.bn                                         BatchNorm2d                            64
5      model.0.act                                        LeakyReLU                               0
6      model.1                                            Conv                               18,560
7      model.1.conv                                       Conv2d                             18,432
8      model.1.bn                                         BatchNorm2d                           128
9      model.1.act                                        LeakyReLU                               0
10     model.2                                            Conv                                2,112
11     model.2.conv                                       Conv2d                              2,048
12     model.2.bn                                         BatchNorm2d                            64
13     model.2.act                                        LeakyReLU                               0
14     model.3                                            Conv                                2,112
15     model.3.conv                                       Conv2d                              2,048
16     model.3.bn                                         BatchNorm2d                            64
17     model.3.act                                        LeakyReLU                               0
18     model.4                                            Conv                                9,280
19     model.4.conv                                       Conv2d                              9,216
20     model.4.bn                                         BatchNorm2d                            64
21     model.4.act                                        LeakyReLU                               0
22     model.5                                            Conv                                9,280
23     model.5.conv                                       Conv2d                              9,216
24     model.5.bn                                         BatchNorm2d                            64
25     model.5.act                                        LeakyReLU                               0
26     model.6                                            Concat                                  0
27     model.7                                            Conv                                8,320
28     model.7.conv                                       Conv2d                              8,192
29     model.7.bn                                         BatchNorm2d                           128
30     model.7.act                                        LeakyReLU                               0
31     model.8                                            MP                                      0
32     model.8.m                                          MaxPool2d                               0
33     model.9                                            Conv                                4,224
34     model.9.conv                                       Conv2d                              4,096
35     model.9.bn                                         BatchNorm2d                           128
36     model.9.act                                        LeakyReLU                               0
37     model.10                                           Conv                                4,224
38     model.10.conv                                      Conv2d                              4,096
39     model.10.bn                                        BatchNorm2d                           128
40     model.10.act                                       LeakyReLU                               0
41     model.11                                           Conv                               36,992
42     model.11.conv                                      Conv2d                             36,864
43     model.11.bn                                        BatchNorm2d                           128
44     model.11.act                                       LeakyReLU                               0
45     model.12                                           Conv                               36,992
46     model.12.conv                                      Conv2d                             36,864
47     model.12.bn                                        BatchNorm2d                           128
48     model.12.act                                       LeakyReLU                               0
49     model.13                                           Concat                                  0
50     model.14                                           Conv                               33,024
51     model.14.conv                                      Conv2d                             32,768
52     model.14.bn                                        BatchNorm2d                           256
53     model.14.act                                       LeakyReLU                               0
54     model.15                                           MP                                      0
55     model.15.m                                         MaxPool2d                               0
56     model.16                                           Conv                               16,640
57     model.16.conv                                      Conv2d                             16,384
58     model.16.bn                                        BatchNorm2d                           256
59     model.16.act                                       LeakyReLU                               0
60     model.17                                           Conv                               16,640
61     model.17.conv                                      Conv2d                             16,384
62     model.17.bn                                        BatchNorm2d                           256
63     model.17.act                                       LeakyReLU                               0
64     model.18                                           Conv                              147,712
65     model.18.conv                                      Conv2d                            147,456
66     model.18.bn                                        BatchNorm2d                           256
67     model.18.act                                       LeakyReLU                               0
68     model.19                                           Conv                              147,712
69     model.19.conv                                      Conv2d                            147,456
70     model.19.bn                                        BatchNorm2d                           256
71     model.19.act                                       LeakyReLU                               0
72     model.20                                           Concat                                  0
73     model.21                                           Conv                              131,584
74     model.21.conv                                      Conv2d                            131,072
75     model.21.bn                                        BatchNorm2d                           512
76     model.21.act                                       LeakyReLU                               0
77     model.22                                           MP                                      0
78     model.22.m                                         MaxPool2d                               0
79     model.23                                           Conv                               66,048
80     model.23.conv                                      Conv2d                             65,536
81     model.23.bn                                        BatchNorm2d                           512
82     model.23.act                                       LeakyReLU                               0
83     model.24                                           Conv                               66,048
84     model.24.conv                                      Conv2d                             65,536
85     model.24.bn                                        BatchNorm2d                           512
86     model.24.act                                       LeakyReLU                               0
87     model.25                                           Conv                              590,336
88     model.25.conv                                      Conv2d                            589,824
89     model.25.bn                                        BatchNorm2d                           512
90     model.25.act                                       LeakyReLU                               0
91     model.26                                           Conv                              590,336
92     model.26.conv                                      Conv2d                            589,824
93     model.26.bn                                        BatchNorm2d                           512
94     model.26.act                                       LeakyReLU                               0
95     model.27                                           Concat                                  0
96     model.28                                           Conv                              525,312
97     model.28.conv                                      Conv2d                            524,288
98     model.28.bn                                        BatchNorm2d                         1,024
99     model.28.act                                       LeakyReLU                               0
100    model.29                                           Conv                              131,584
101    model.29.conv                                      Conv2d                            131,072
102    model.29.bn                                        BatchNorm2d                           512
103    model.29.act                                       LeakyReLU                               0
104    model.30                                           Conv                              131,584
105    model.30.conv                                      Conv2d                            131,072
106    model.30.bn                                        BatchNorm2d                           512
107    model.30.act                                       LeakyReLU                               0
108    model.31                                           SP                                      0
109    model.31.m                                         MaxPool2d                               0
110    model.32                                           SP                                      0
111    model.32.m                                         MaxPool2d                               0
112    model.33                                           SP                                      0
113    model.33.m                                         MaxPool2d                               0
114    model.34                                           Concat                                  0
115    model.35                                           Conv                              262,656
116    model.35.conv                                      Conv2d                            262,144
117    model.35.bn                                        BatchNorm2d                           512
118    model.35.act                                       LeakyReLU                               0
119    model.36                                           Concat                                  0
120    model.37                                           Conv                              131,584
121    model.37.conv                                      Conv2d                            131,072
122    model.37.bn                                        BatchNorm2d                           512
123    model.37.act                                       LeakyReLU                               0
124    model.38                                           Conv                               33,024
125    model.38.conv                                      Conv2d                             32,768
126    model.38.bn                                        BatchNorm2d                           256
127    model.38.act                                       LeakyReLU                               0
128    model.39                                           Upsample                                0
129    model.40                                           Conv                               33,024
130    model.40.conv                                      Conv2d                             32,768
131    model.40.bn                                        BatchNorm2d                           256
132    model.40.act                                       LeakyReLU                               0
133    model.41                                           Concat                                  0
134    model.42                                           Conv                               16,512
135    model.42.conv                                      Conv2d                             16,384
136    model.42.bn                                        BatchNorm2d                           128
137    model.42.act                                       LeakyReLU                               0
138    model.43                                           Conv                               16,512
139    model.43.conv                                      Conv2d                             16,384
140    model.43.bn                                        BatchNorm2d                           128
141    model.43.act                                       LeakyReLU                               0
142    model.44                                           Conv                               36,992
143    model.44.conv                                      Conv2d                             36,864
144    model.44.bn                                        BatchNorm2d                           128
145    model.44.act                                       LeakyReLU                               0
