position,index,name,type,num_params
before_30,0,model.68.act,LeakyReLU,0
before_29,1,model.69,Conv,65792
before_28,2,model.69.conv,Conv2d,65536
before_27,3,model.69.bn,BatchNorm2d,256
before_26,4,model.69.act,LeakyReLU,0
before_25,5,model.70,Conv,147712
before_24,6,model.70.conv,Conv2d,147456
before_23,7,model.70.bn,BatchNorm2d,256
before_22,8,model.70.act,LeakyReLU,0
before_21,9,model.71,Conv,147712
before_20,10,model.71.conv,Conv2d,147456
before_19,11,model.71.bn,BatchNorm2d,256
before_18,12,model.71.act,LeakyReLU,0
before_17,13,model.72,Concat,0
before_16,14,model.73,Conv,131584
before_15,15,model.73.conv,Conv2d,131072
before_14,16,model.73.bn,BatchNorm2d,512
before_13,17,model.73.act,LeakyReLU,0
before_12,18,model.74,Conv,73984
before_11,19,model.74.conv,Conv2d,73728
before_10,20,model.74.bn,BatchNorm2d,256
before_9,21,model.74.act,LeakyReLU,0
before_8,22,model.75,Conv,295424
before_7,23,model.75.conv,Conv2d,294912
before_6,24,model.75.bn,BatchNorm2d,512
before_5,25,model.75.act,LeakyReLU,0
before_4,26,model.76,Conv,1180672
before_3,27,model.76.conv,Conv2d,1179648
before_2,28,model.76.bn,BatchNorm2d,1024
before_1,29,model.76.act,LeakyReLU,0
DETECT,-,model.77,IDetect,230906
after_1,0,model.77.m,ModuleList,229245
after_2,1,model.77.m.0,Conv2d,32895
after_3,2,model.77.m.1,Conv2d,65535
after_4,3,model.77.m.2,Conv2d,130815
after_5,4,model.77.ia,ModuleList,896
