prefix,count,numel
model.0.*,3,928
model.1.*,3,18560
model.10.*,3,4224
model.11.*,3,36992
model.12.*,3,36992
model.14.*,3,33024
model.16.*,3,16640
model.17.*,3,16640
model.18.*,3,147712
model.19.*,3,147712
model.2.*,3,2112
model.21.*,3,131584
model.23.*,3,66048
model.24.*,3,66048
model.25.*,3,590336
model.26.*,3,590336
model.28.*,3,525312
model.29.*,3,131584
model.3.*,3,2112
model.30.*,3,131584
model.35.*,3,262656
model.37.*,3,131584
model.38.*,3,33024
model.4.*,3,9280
model.40.*,3,33024
model.42.*,3,16512
model.43.*,3,16512
model.44.*,3,36992
model.45.*,3,36992
model.47.*,3,33024
model.48.*,3,8320
model.5.*,3,9280
model.50.*,3,8320
model.52.*,3,4160
model.53.*,3,4160
model.54.*,3,9280
model.55.*,3,9280
model.57.*,3,8320
model.58.*,3,73984
model.60.*,3,16512
model.61.*,3,16512
model.62.*,3,36992
model.63.*,3,36992
model.65.*,3,33024
model.66.*,3,295424
model.68.*,3,65792
model.69.*,3,65792
model.7.*,3,8320
model.70.*,3,147712
model.71.*,3,147712
model.73.*,3,131584
model.74.*,3,73984
model.75.*,3,295424
model.76.*,3,1180672
model.77.*,12,230906
model.9.*,3,4224
